# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Standard Edition
# File: /home/florian/repos/teaching/ddca/2021/dd/template_files/top_pinout.csv
# Generated on: Fri Mar  5 14:42:45 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation,Weak Pull-Up Resistor
hex7[0],Output,PIN_AD17,4,B4_N2,PIN_AD17,3.3-V LVTTL,,,,,,
keys[3],Input,PIN_R24,5,B5_N0,PIN_R24,2.5 V,,,,,,
keys[2],Input,PIN_N21,6,B6_N2,PIN_N21,2.5 V,,,,,,
keys[1],Input,PIN_M21,6,B6_N1,PIN_M21,2.5 V,,,,,,
keys[0],Input,PIN_M23,6,B6_N2,PIN_M23,2.5 V,,,,,,
ledg[8],Output,PIN_F17,7,B7_N2,PIN_F17,2.5 V,,,,,,
ledg[7],Output,PIN_G21,7,B7_N1,PIN_G21,2.5 V,,,,,,
ledg[6],Output,PIN_G22,7,B7_N2,PIN_G22,2.5 V,,,,,,
ledg[5],Output,PIN_G20,7,B7_N1,PIN_G20,2.5 V,,,,,,
ledg[4],Output,PIN_H21,7,B7_N2,PIN_H21,2.5 V,,,,,,
ledg[3],Output,PIN_E24,7,B7_N1,PIN_E24,2.5 V,,,,,,
ledg[2],Output,PIN_E25,7,B7_N1,PIN_E25,2.5 V,,,,,,
ledg[1],Output,PIN_E22,7,B7_N0,PIN_E22,2.5 V,,,,,,
ledg[0],Output,PIN_E21,7,B7_N0,PIN_E21,2.5 V,,,,,,
ledr[17],Output,PIN_H15,7,B7_N2,PIN_H15,2.5 V,,,,,,
ledr[16],Output,PIN_G16,7,B7_N2,PIN_G16,2.5 V,,,,,,
ledr[15],Output,PIN_G15,7,B7_N2,PIN_G15,2.5 V,,,,,,
ledr[14],Output,PIN_F15,7,B7_N2,PIN_F15,2.5 V,,,,,,
ledr[13],Output,PIN_H17,7,B7_N2,PIN_H17,2.5 V,,,,,,
ledr[12],Output,PIN_J16,7,B7_N2,PIN_J16,2.5 V,,,,,,
ledr[11],Output,PIN_H16,7,B7_N2,PIN_H16,2.5 V,,,,,,
ledr[10],Output,PIN_J15,7,B7_N2,PIN_J15,2.5 V,,,,,,
ledr[9],Output,PIN_G17,7,B7_N1,PIN_G17,2.5 V,,,,,,
ledr[8],Output,PIN_J17,7,B7_N2,PIN_J17,2.5 V,,,,,,
ledr[7],Output,PIN_H19,7,B7_N2,PIN_H19,2.5 V,,,,,,
ledr[6],Output,PIN_J19,7,B7_N2,PIN_J19,2.5 V,,,,,,
ledr[5],Output,PIN_E18,7,B7_N1,PIN_E18,2.5 V,,,,,,
ledr[4],Output,PIN_F18,7,B7_N1,PIN_F18,2.5 V,,,,,,
ledr[3],Output,PIN_F21,7,B7_N0,PIN_F21,2.5 V,,,,,,
ledr[2],Output,PIN_E19,7,B7_N0,PIN_E19,2.5 V,,,,,,
ledr[1],Output,PIN_F19,7,B7_N0,PIN_F19,2.5 V,,,,,,
ledr[0],Output,PIN_G19,7,B7_N2,PIN_G19,2.5 V,,,,,,
nclk,Output,PIN_R21,5,B5_N0,PIN_R21,3.3-V LVTTL,,8ma,,,,
osci_ch2,Output,PIN_AF16,4,B4_N2,PIN_AF16,3.3-V LVTTL,,,,,,
osci_ch3,Output,PIN_AF15,4,B4_N2,PIN_AF15,3.3-V LVTTL,,,,,,
osci_ch4,Output,PIN_AE21,4,B4_N1,PIN_AE21,3.3-V LVTTL,,,,,,
r[7],Output,PIN_J26,6,B6_N1,PIN_J26,3.3-V LVTTL,,8ma,,,,
r[6],Output,PIN_T25,5,B5_N0,PIN_T25,3.3-V LVTTL,,8ma,,,,
r[5],Output,PIN_L27,6,B6_N2,PIN_L27,3.3-V LVTTL,,8ma,,,,
r[4],Output,PIN_T26,5,B5_N0,PIN_T26,3.3-V LVTTL,,8ma,,,,
r[3],Output,PIN_L28,6,B6_N2,PIN_L28,3.3-V LVTTL,,8ma,,,,
r[2],Output,PIN_U25,5,B5_N0,PIN_U25,3.3-V LVTTL,,8ma,,,,
r[1],Output,PIN_V25,5,B5_N1,PIN_V25,3.3-V LVTTL,,8ma,,,,
r[0],Output,PIN_U26,5,B5_N0,PIN_U26,3.3-V LVTTL,,8ma,,,,
rx,Input,PIN_G12,8,B8_N1,PIN_G12,3.3-V LVTTL,,,,,,
scen,Output,PIN_J25,6,B6_N1,PIN_J25,3.3-V LVTTL,,,,,,
sclk,Output,PIN_V22,5,B5_N1,PIN_V22,3.3-V LVTTL,,,,,,
sda,Bidir,PIN_P27,6,B6_N2,PIN_P27,3.3-V LVTTL,,,,,,
sram_addr[19],Output,PIN_T8,2,B2_N1,PIN_T8,3.3-V LVTTL,,,,,,
sram_addr[18],Output,PIN_AB8,3,B3_N2,PIN_AB8,3.3-V LVTTL,,,,,,
sram_addr[17],Output,PIN_AB9,3,B3_N2,PIN_AB9,3.3-V LVTTL,,,,,,
sram_addr[16],Output,PIN_AC11,3,B3_N0,PIN_AC11,3.3-V LVTTL,,,,,,
sram_addr[15],Output,PIN_AB11,3,B3_N1,PIN_AB11,3.3-V LVTTL,,,,,,
sram_addr[14],Output,PIN_AA4,2,B2_N1,PIN_AA4,3.3-V LVTTL,,,,,,
sram_addr[13],Output,PIN_AC3,2,B2_N1,PIN_AC3,3.3-V LVTTL,,,,,,
sram_addr[12],Output,PIN_AB4,2,B2_N2,PIN_AB4,3.3-V LVTTL,,,,,,
sram_addr[11],Output,PIN_AD3,2,B2_N1,PIN_AD3,3.3-V LVTTL,,,,,,
sram_addr[10],Output,PIN_AF2,2,B2_N2,PIN_AF2,3.3-V LVTTL,,,,,,
sram_addr[9],Output,PIN_T7,2,B2_N0,PIN_T7,3.3-V LVTTL,,,,,,
sram_addr[8],Output,PIN_AF5,3,B3_N2,PIN_AF5,3.3-V LVTTL,,,,,,
sram_addr[7],Output,PIN_AC5,2,B2_N2,PIN_AC5,3.3-V LVTTL,,,,,,
sram_addr[6],Output,PIN_AB5,2,B2_N2,PIN_AB5,3.3-V LVTTL,,,,,,
sram_addr[5],Output,PIN_AE6,3,B3_N2,PIN_AE6,3.3-V LVTTL,,,,,,
sram_addr[4],Output,PIN_AB6,2,B2_N2,PIN_AB6,3.3-V LVTTL,,,,,,
sram_addr[3],Output,PIN_AC7,3,B3_N2,PIN_AC7,3.3-V LVTTL,,,,,,
sram_addr[2],Output,PIN_AE7,3,B3_N1,PIN_AE7,3.3-V LVTTL,,,,,,
sram_addr[1],Output,PIN_AD7,3,B3_N2,PIN_AD7,3.3-V LVTTL,,,,,,
sram_addr[0],Output,PIN_AB7,3,B3_N1,PIN_AB7,3.3-V LVTTL,,,,,,
sram_ce_n,Output,PIN_AF8,3,B3_N1,PIN_AF8,3.3-V LVTTL,,,,,,
sram_dq[15],Bidir,PIN_AG3,3,B3_N2,PIN_AG3,3.3-V LVTTL,,,,,,
sram_dq[14],Bidir,PIN_AF3,3,B3_N2,PIN_AF3,3.3-V LVTTL,,,,,,
sram_dq[13],Bidir,PIN_AE4,3,B3_N2,PIN_AE4,3.3-V LVTTL,,,,,,
sram_dq[12],Bidir,PIN_AE3,2,B2_N2,PIN_AE3,3.3-V LVTTL,,,,,,
sram_dq[11],Bidir,PIN_AE1,2,B2_N1,PIN_AE1,3.3-V LVTTL,,,,,,
sram_dq[10],Bidir,PIN_AE2,2,B2_N1,PIN_AE2,3.3-V LVTTL,,,,,,
sram_dq[9],Bidir,PIN_AD2,2,B2_N1,PIN_AD2,3.3-V LVTTL,,,,,,
sram_dq[8],Bidir,PIN_AD1,2,B2_N1,PIN_AD1,3.3-V LVTTL,,,,,,
sram_dq[7],Bidir,PIN_AF7,3,B3_N1,PIN_AF7,3.3-V LVTTL,,,,,,
sram_dq[6],Bidir,PIN_AH6,3,B3_N2,PIN_AH6,3.3-V LVTTL,,,,,,
sram_dq[5],Bidir,PIN_AG6,3,B3_N2,PIN_AG6,3.3-V LVTTL,,,,,,
sram_dq[4],Bidir,PIN_AF6,3,B3_N2,PIN_AF6,3.3-V LVTTL,,,,,,
sram_dq[3],Bidir,PIN_AH4,3,B3_N2,PIN_AH4,3.3-V LVTTL,,,,,,
sram_dq[2],Bidir,PIN_AG4,3,B3_N2,PIN_AG4,3.3-V LVTTL,,,,,,
sram_dq[1],Bidir,PIN_AF4,3,B3_N2,PIN_AF4,3.3-V LVTTL,,,,,,
sram_dq[0],Bidir,PIN_AH3,3,B3_N2,PIN_AH3,3.3-V LVTTL,,,,,,
sram_lb_n,Output,PIN_AD4,3,B3_N2,PIN_AD4,3.3-V LVTTL,,,,,,
sram_oe_n,Output,PIN_AD5,3,B3_N2,PIN_AD5,3.3-V LVTTL,,,,,,
sram_ub_n,Output,PIN_AC4,2,B2_N2,PIN_AC4,3.3-V LVTTL,,,,,,
sram_we_n,Output,PIN_AE8,3,B3_N1,PIN_AE8,3.3-V LVTTL,,,,,,
switches[17],Input,PIN_Y23,5,B5_N2,PIN_Y23,3.3-V LVTTL,,,,,,
switches[16],Input,PIN_Y24,5,B5_N2,PIN_Y24,3.3-V LVTTL,,,,,,
switches[15],Input,PIN_AA22,5,B5_N2,PIN_AA22,3.3-V LVTTL,,,,,,
switches[14],Input,PIN_AA23,5,B5_N2,PIN_AA23,3.3-V LVTTL,,,,,,
switches[13],Input,PIN_AA24,5,B5_N2,PIN_AA24,3.3-V LVTTL,,,,,,
switches[12],Input,PIN_AB23,5,B5_N2,PIN_AB23,3.3-V LVTTL,,,,,,
switches[11],Input,PIN_AB24,5,B5_N2,PIN_AB24,3.3-V LVTTL,,,,,,
switches[10],Input,PIN_AC24,5,B5_N2,PIN_AC24,3.3-V LVTTL,,,,,,
switches[9],Input,PIN_AB25,5,B5_N1,PIN_AB25,3.3-V LVTTL,,,,,,
switches[8],Input,PIN_AC25,5,B5_N2,PIN_AC25,3.3-V LVTTL,,,,,,
switches[7],Input,PIN_AB26,5,B5_N1,PIN_AB26,3.3-V LVTTL,,,,,,
switches[6],Input,PIN_AD26,5,B5_N2,PIN_AD26,3.3-V LVTTL,,,,,,
switches[5],Input,PIN_AC26,5,B5_N2,PIN_AC26,3.3-V LVTTL,,,,,,
switches[4],Input,PIN_AB27,5,B5_N1,PIN_AB27,3.3-V LVTTL,,,,,,
switches[3],Input,PIN_AD27,5,B5_N2,PIN_AD27,3.3-V LVTTL,,,,,,
switches[2],Input,PIN_AC27,5,B5_N2,PIN_AC27,3.3-V LVTTL,,,,,,
switches[1],Input,PIN_AC28,5,B5_N2,PIN_AC28,3.3-V LVTTL,,,,,,
switches[0],Input,PIN_AB28,5,B5_N1,PIN_AB28,3.3-V LVTTL,,,,,,
tx,Output,PIN_G9,8,B8_N2,PIN_G9,3.3-V LVTTL,,,,,,
vd,Output,PIN_U28,5,B5_N0,PIN_U28,3.3-V LVTTL,,8ma,,,,
vga_b[7],Output,PIN_D12,8,B8_N0,PIN_D12,3.3-V LVTTL,,,,,,
vga_b[6],Output,PIN_D11,8,B8_N1,PIN_D11,3.3-V LVTTL,,,,,,
vga_b[5],Output,PIN_C12,8,B8_N0,PIN_C12,3.3-V LVTTL,,,,,,
vga_b[4],Output,PIN_A11,8,B8_N0,PIN_A11,3.3-V LVTTL,,,,,,
vga_b[3],Output,PIN_B11,8,B8_N0,PIN_B11,3.3-V LVTTL,,,,,,
vga_b[2],Output,PIN_C11,8,B8_N1,PIN_C11,3.3-V LVTTL,,,,,,
vga_b[1],Output,PIN_A10,8,B8_N0,PIN_A10,3.3-V LVTTL,,,,,,
vga_b[0],Output,PIN_B10,8,B8_N0,PIN_B10,3.3-V LVTTL,,,,,,
vga_blank_n,Output,PIN_F11,8,B8_N1,PIN_F11,3.3-V LVTTL,,,,,,
vga_clk,Output,PIN_A12,8,B8_N0,PIN_A12,3.3-V LVTTL,,,,,,
vga_g[7],Output,PIN_C9,8,B8_N1,PIN_C9,3.3-V LVTTL,,,,,,
vga_g[6],Output,PIN_F10,8,B8_N1,PIN_F10,3.3-V LVTTL,,,,,,
vga_g[5],Output,PIN_B8,8,B8_N1,PIN_B8,3.3-V LVTTL,,,,,,
vga_g[4],Output,PIN_C8,8,B8_N1,PIN_C8,3.3-V LVTTL,,,,,,
vga_g[3],Output,PIN_H12,8,B8_N1,PIN_H12,3.3-V LVTTL,,,,,,
vga_g[2],Output,PIN_F8,8,B8_N2,PIN_F8,3.3-V LVTTL,,,,,,
vga_g[1],Output,PIN_G11,8,B8_N1,PIN_G11,3.3-V LVTTL,,,,,,
vga_g[0],Output,PIN_G8,8,B8_N2,PIN_G8,3.3-V LVTTL,,,,,,
vga_r[7],Output,PIN_H10,8,B8_N1,PIN_H10,3.3-V LVTTL,,,,,,
vga_r[6],Output,PIN_H8,8,B8_N2,PIN_H8,3.3-V LVTTL,,,,,,
vga_r[5],Output,PIN_J12,8,B8_N0,PIN_J12,3.3-V LVTTL,,,,,,
vga_r[4],Output,PIN_G10,8,B8_N1,PIN_G10,3.3-V LVTTL,,,,,,
vga_r[3],Output,PIN_F12,8,B8_N1,PIN_F12,3.3-V LVTTL,,,,,,
vga_r[2],Output,PIN_D10,8,B8_N1,PIN_D10,3.3-V LVTTL,,,,,,
vga_r[1],Output,PIN_E11,8,B8_N1,PIN_E11,3.3-V LVTTL,,,,,,
vga_r[0],Output,PIN_E12,8,B8_N1,PIN_E12,3.3-V LVTTL,,,,,,
vga_sync_n,Output,PIN_C10,8,B8_N0,PIN_C10,3.3-V LVTTL,,,,,,
wm8731_bclk,Output,PIN_F2,1,B1_N1,PIN_F2,3.3-V LVTTL,,,,,,
wm8731_dacdat,Output,PIN_D1,1,B1_N0,PIN_D1,3.3-V LVTTL,,,,,,
wm8731_daclrck,Output,PIN_E3,1,B1_N0,PIN_E3,3.3-V LVTTL,,,,,,
wm8731_sclk,Bidir,PIN_B7,8,B8_N1,PIN_B7,3.3-V LVTTL,,,,,,
wm8731_sdat,Bidir,PIN_A8,8,B8_N1,PIN_A8,3.3-V LVTTL,,,,,,
wm8731_xck,Output,PIN_E1,1,B1_N0,PIN_E1,3.3-V LVTTL,,,,,,
lcd_data[7],Unknown,PIN_M5,1,B1_N2,,3.3-V LVTTL,,,,,,
lcd_data[6],Unknown,PIN_M3,1,B1_N1,,3.3-V LVTTL,,,,,,
lcd_data[5],Unknown,PIN_K2,1,B1_N1,,3.3-V LVTTL,,,,,,
lcd_data[4],Unknown,PIN_K1,1,B1_N1,,3.3-V LVTTL,,,,,,
lcd_data[3],Unknown,PIN_K7,1,B1_N1,,3.3-V LVTTL,,,,,,
lcd_data[2],Unknown,PIN_L2,1,B1_N2,,3.3-V LVTTL,,,,,,
lcd_data[1],Unknown,PIN_L1,1,B1_N2,,3.3-V LVTTL,,,,,,
lcd_data[0],Unknown,PIN_L3,1,B1_N1,,3.3-V LVTTL,,,,,,
lcd_en,Unknown,PIN_L4,1,B1_N1,,3.3-V LVTTL,,,,,,
lcd_on,Unknown,PIN_L5,1,B1_N1,,3.3-V LVTTL,,,,,,
lcd_rs,Unknown,PIN_M2,1,B1_N2,,3.3-V LVTTL,,,,,,
lcd_rw,Unknown,PIN_M1,1,B1_N2,,3.3-V LVTTL,,,,,,
